# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
dong zuo 	动作	c=7 d=1 t=135016
dou 	抖	c=2 d=1 t=126858
dou 	斗	c=3 d=1 t=78600
dou 	豆	c=11 d=0.70822 t=148898
dou 	逗	c=3 d=1.75146 t=15857
dou 	都	c=798 d=1.72966 t=148898
dou ban 	豆瓣	c=2 d=1 t=129742
dou bei 	都被	c=1 d=1 t=135496
dou bian cheng 	都变成	c=1 d=1 t=130007
dou bu 	都不	c=3 d=0.1 t=99068
dou bu cuo 	都不错	c=2 d=1 t=81833
dou bu dong 	都不懂	c=1 d=1 t=50420
dou bu duan 	都不短	c=1 d=1 t=14059
dou bu hao 	都不好	c=1 d=1 t=113560
dou bu hao yi si 	都不好意思	c=1 d=1 t=148293
dou bu huan 	都不还	c=1 d=1 t=28186
dou bu hui 	都不会	c=1 d=1 t=118601
dou bu ken 	都不肯	c=1 d=1 t=36065
dou bu mai 	都不卖	c=1 d=1 t=99051
dou bu neng 	都不能	c=6 d=1 t=123426
dou bu ru 	都不如	c=1 d=1 t=63336
dou bu sha 	都不傻	c=1 d=1 t=99069
dou bu shui jiao 	都不睡觉	c=1 d=1 t=20294
dou bu tai 	都不太	c=1 d=1 t=24581
dou bu tai ling 	都不太灵	c=1 d=1 t=138811
dou bu tong bu 	都不同步	c=1 d=1 t=17927
dou bu wen ding 	都不稳定	c=1 d=1 t=112737
dou bu xin 	都不信	c=1 d=1 t=106259
dou bu xing 	都不行	c=4 d=1 t=129271
dou bu yi yang 	都不一样	c=1 d=1 t=64196
dou bu yong 	都不用	c=9 d=0.346456 t=148898
dou bu zen me 	都不怎么	c=1 d=1 t=132973
dou bu zhi dao 	都不知道	c=1 d=1 t=118279
dou bu zhi yu 	都不至于	c=1 d=1 t=66788
dou chi 	都吃	c=1 d=1 t=50015
dou di 	兜底	c=1 d=1 t=146065
dou di zhu 	斗地主	c=1 d=1 t=132964
dou dou 	豆豆	c=19 d=1 t=143687
dou dou se 	豆豆色	c=1 d=1 t=143659
dou fang zai 	都放在	c=1 d=1 t=43211
dou feng 	兜风	c=1 d=1 t=66296
dou fu 	豆腐	c=3 d=2.91238 t=29239
dou fu ba 	豆腐吧	c=1 d=1 t=3072
dou ge 	豆哥	c=19 d=0.718924 t=148898
dou gou 	都够	c=0 d=0.1 t=29499
dou gou le 	都够了	c=1 d=1 t=61760
dou gou yong 	都够用	c=1 d=1 t=29500
dou guai 	都怪	c=1 d=1 t=130427
dou hai 	都还	c=0 d=0.1 t=146932
dou hai hao 	都还好	c=1 d=1 t=40325
dou hai kei yi 	都还剋一	c=1 d=1 t=146933
dou hai mei 	都还没	c=1 d=1 t=50003
dou hai mei mai 	都还没买	c=1 d=1 t=9411
dou hai xing 	都还行	c=1 d=1 t=12459
dou hai you 	都还有	c=1 d=1 t=65776
dou hao 	都好	c=1 d=1 t=115751
dou hui 	都会	c=5 d=1 t=110411
dou jia 	豆荚	c=1 d=1 t=44312
dou kan bu dong 	都看不懂	c=1 d=1 t=17984
dou ke yi 	都可以	c=18 d=1.06856 t=146927
dou kuai 	都快	c=4 d=1 t=135664
dou mai 	都买	c=1 d=1 t=16089
dou me 	都么	c=1 d=1 t=102897
dou mei 	都没	c=19 d=1 t=140477
dou mei chi 	都没吃	c=1 d=1 t=132283
dou mei le 	都没了	c=1 d=1 t=20888
dou mei shi 	都没事	c=2 d=1 t=65847
dou mei yong 	都没用	c=1 d=1 t=52494
dou mei you 	都没有	c=1 d=1 t=143117
dou neng 	都能	c=18 d=0.0571209 t=148898
dou neng chi 	都能吃	c=1 d=0.574072 t=148898
dou neng yong 	都能用	c=1 d=1 t=83016
dou pian 	都骗	c=1 d=1 t=104681
dou qu 	都去	c=2 d=1 t=133867
dou shi 	都是	c=310 d=0.330805 t=148898
dou shi lin ju 	都是邻居	c=1 d=1 t=10206
dou shi sha 	都是啥	c=1 d=1.09501 t=6956
dou shou 	兜售	c=1 d=1 t=38583
dou shuo 	都说	c=8 d=1 t=132332
dou shuo wo 	都说我	c=1 d=1 t=134433
dou suan 	都算	c=1 d=1 t=55625
dou ting 	都挺	c=0 d=0.1 t=15696
dou ting gui 	都挺鬼	c=1 d=1 t=12064
dou ting hao 	都听好	c=1 d=1 t=113601
dou ting you yi si 	都挺有意思	c=1 d=1 t=15697
dou xi hao zao 	都洗好澡	c=1 d=1 t=14402
dou xiang 	都想	c=5 d=0.392586 t=148898
dou xing 	都行	c=4 d=1 t=112234
dou yao 	都要	c=37 d=1 t=143575
dou yi 	都已	c=1 d=1 t=145249
dou yi yang 	都一样	c=2 d=1 t=37923
dou yin 	抖音	c=28 d=1 t=133737
dou yong 	都用	c=5 d=1.00018 t=147250
dou you 	都有	c=37 d=1 t=142617
dou you ba 	都有吧	c=1 d=1 t=88024
dou you dian 	都有点	c=2 d=1 t=28195
dou you yong 	都有用	c=1 d=1 t=6731
dou zai 	都在	c=21 d=1 t=144594
dou zai yong 	都在用	c=1 d=1 t=51647
dou zhi dao 	都知道	c=1 d=1 t=142890
dou zuo 	都做	c=1 d=1 t=29653
du 	嘟	c=2 d=1.99005 t=50563
du 	度	c=14 d=1 t=140937
du 	毒	c=1 d=1 t=51418
du 	读	c=3 d=1 t=87633
du 	赌	c=2 d=1 t=51417
du bi 	杜比	c=1 d=1 t=10685
du bi shi jie 	杜比视界	c=2 d=1.74082 t=10779
du bo 	赌博	c=1 d=1 t=38016
du che 	堵车	c=1 d=1 t=147118
du cu 	督促	c=1 d=1 t=47179
du dong 	独栋	c=1 d=1 t=126456
du gou 	赌狗	c=3 d=1.51713 t=132959
du ji 	妒忌	c=1 d=1 t=125419
du jia cun 	度假村	c=1 d=1 t=806
du li 	独立	c=17 d=1 t=118927
du li kai fa zhe 	独立开发者	c=4 d=1 t=114410
du liu 	毒瘤	c=5 d=2.18383 t=128743
du qu 	读取	c=15 d=1 t=143995
du shi 	毒师	c=1 d=1 t=3574
du shi 	都市	c=4 d=3.68462 t=5248
du shu 	读书	c=14 d=1 t=136752
du shu yi zhi 	独树一帜	c=1 d=1 t=28154
du wei 	独卫	c=1 d=1 t=21995
du wu 	独舞	c=1 d=1 t=59032
du xie 	读写	c=1 d=1 t=33341
du zhu 	堵住	c=1 d=1 t=59705
du zi 	独自	c=2 d=1 t=54881
du zi 	肚子	c=4 d=1 t=137184
du zi teng 	肚子疼	c=1 d=1 t=54882
duan 	断	c=2 d=1 t=90435
duan 	段	c=5 d=1 t=90434
duan 	短	c=3 d=1.00196 t=73378
duan 	端	c=12 d=1 t=146433
duan ban 	短板	c=1 d=1 t=108056
duan dang 	断档	c=1 d=1 t=47963
duan dian 	断电	c=1 d=1 t=24771
duan huo 	断货	c=1 d=1 t=98671
duan kai 	断开	c=2 d=1 t=76598
duan kou 	端口	c=12 d=1.00001 t=116804
duan le 	断了	c=5 d=1 t=74623
duan lian 	锻炼	c=1 d=1 t=61817
duan lian jie 	短链接	c=1 d=1 t=106922
duan lie 	断裂	c=1 d=1 t=35440
duan luo 	段落	c=1 d=1 t=7987
duan ping 	端平	c=1 d=1 t=14207
duan wang 	断网	c=2 d=1 t=22082
duan wei 	断为	c=1 d=1 t=84990
duan wei 	段位	c=3 d=1 t=129632
duan xin 	短信	c=8 d=1.94176 t=107411
duan you 	端游	c=1 d=1 t=65621
duan zi 	段子	c=1 d=1 t=88166
dui 	堆	c=5 d=1.95123 t=116209
dui 	对	c=214 d=1.14993 t=148603
dui 	怼	c=15 d=4.82945 t=145737
dui 	队	c=2 d=1 t=44027
dui ban 	对半	c=1 d=1 t=50263
dui bi 	对比	c=37 d=0.970446 t=148898
dui bi du 	对比度	c=1 d=1 t=57198
dui bi tu 	对比图	c=1 d=1 t=140539
dui bi zhao 	对比照	c=1 d=1 t=86430
dui biao 	对标	c=1 d=1 t=134630
dui chu 	对出	c=0 d=0.1 t=27276
dui chu qu 	对出去	c=1 d=1 t=27277
dui dian 	对点	c=1 d=1 t=109733
dui ding 	对顶	c=1 d=1 t=81066
dui fang 	对方	c=14 d=0.895834 t=148898
dui hua 	对话	c=9 d=1 t=118481
dui huan 	兑换	c=4 d=1 t=147544
dui jia 	对家	c=2 d=1.9802 t=100257
dui jie 	对接	c=20 d=1 t=133957
dui ju 	对局	c=1 d=1 t=63747
dui kang 	对抗	c=3 d=2.89786 t=99309
dui kang lu 	对抗路	c=3 d=1 t=65388
dui kou 	对口	c=1 d=1 t=104423
dui le 	兑了	c=1 d=1 t=87982
dui le 	对了	c=2 d=1 t=68881
dui liao 	堆料	c=2 d=1.01145 t=14187
dui lie 	队列	c=2 d=1 t=126808
dui ma dao zhi hun 	对马岛之魂	c=1 d=1 t=142799
dui mian 	对面	c=60 d=1.00418 t=129956
dui nei 	对内	c=2 d=1.82283 t=32153
dui ni 	对你	c=4 d=1 t=137391
dui ni lai 	对你来	c=1 d=1 t=114422
dui qi 	对其	c=1 d=1 t=25425
dui qi 	对齐	c=1 d=1 t=25427
dui shou 	对手	c=3 d=1 t=101713
dui ta 	对她	c=1 d=1 t=98781
dui wai 	对外	c=7 d=1.07465 t=79051
dui wei 	对位	c=3 d=1 t=69380
dui wo 	对我	c=12 d=1.00036 t=142088
dui wo lai shuo 	对我来说	c=1 d=1 t=8686
dui wo men 	对我们	c=1 d=1 t=40738
dui wu 	队伍	c=4 d=1 t=108567
dui xian 	对线	c=14 d=1 t=144607
dui xiang 	对象	c=8 d=1.95606 t=123088
dui ying 	对应	c=9 d=1.00033 t=147066
dui you 	队友	c=37 d=1 t=118689
dui yu 	对于	c=27 d=1 t=147213
dui yuan 	队员	c=2 d=1.86936 t=49617
dui zhe 	对着	c=4 d=1 t=136626
dui zhun 	对准	c=1 d=1 t=52137
dun 	吨	c=1 d=1 t=88911
dun 	蹲	c=7 d=1.34403 t=148898
dun 	顿	c=1 d=1 t=114842
dun dun 	蹲蹲	c=0 d=0.0279431 t=148898
dun dun kan 	蹲蹲看	c=1 d=0.280832 t=148898
dun pai 	盾牌	c=1 d=1 t=9533
dun zhe 	蹲着	c=0 d=0.1 t=147353
dun zhe le 	蹲着了	c=1 d=1 t=147354
duo 	多	c=397 d=1.23514 t=148788
duo 	躲	c=1 d=1 t=113368
duo ceng 	多层	c=2 d=1.94176 t=26020
duo chi dian 	多吃点	c=1 d=1 t=26505
duo chong 	多重	c=1 d=1 t=136229
duo ci 	多次	c=1 d=1 t=114218
duo da 	多大	c=10 d=1.00004 t=145377
duo da dian 	多大点	c=0 d=0.1 t=123740
duo da le 	多大了	c=1 d=1 t=96377
duo dai dian 	多带点	c=1 d=1 t=132023
duo du 	多度	c=1 d=1 t=73546
duo duan 	多端	c=1 d=1 t=116449
duo dui 	多对	c=1 d=1 t=104692
duo duo 	多多	c=1 d=1 t=6771
duo duo yi shan 	多多益善	c=1 d=1 t=31127
duo gao 	多高	c=1 d=1 t=91084
duo ge 	多个	c=6 d=1 t=129775
duo hang 	多行	c=1 d=1 t=146758
duo hao 	多好	c=1 d=1 t=68604
duo hao chi 	多好吃	c=1 d=1 t=31580
duo jiu 	多久	c=21 d=1.96079 t=138041
duo jiu dao 	多久到	c=1 d=1 t=129267
duo jiu mei yong 	多久没用	c=1 d=1 t=3859
duo kui le 	多亏了	c=1 d=1 t=47507
duo le qu 	多乐趣	c=1 d=1 t=141782
duo li pu 	多离谱	c=1 d=1 t=125192
duo liang 	多量	c=1 d=1 t=20392
duo lu 	多路	c=0 d=0.1 t=108333
duo lu fu yong 	多路复用	c=1 d=1 t=115914
duo luo 	堕落	c=1 d=1 t=9425
duo nian 	多年	c=3 d=1 t=61816
duo ren 	多人	c=1 d=1 t=60367
duo shao 	多少	c=97 d=1.01078 t=146427
duo shao dong xi 	多少东西	c=1 d=1 t=15184
duo shao jiu chi 	多少就吃	c=1 d=1 t=15206
duo shao nian 	多少年	c=1 d=1 t=32281
duo shao qian 	多少钱	c=11 d=1 t=124772
duo shao ren 	多少人	c=1 d=1 t=139093
duo shao shui 	多少水	c=1 d=1 t=1607
duo shao tiao 	多少条	c=1 d=1 t=82249
duo shao zhan 	多少站	c=1 d=1 t=5008
duo shi 	多是	c=1 d=1 t=37640
duo shu 	多数	c=11 d=1 t=98406
duo shu ren 	多数人	c=1 d=1 t=104776
duo shuan 	多栓	c=1 d=1 t=24231
duo shuo wu yi 	多说无益	c=1 d=1 t=52455
duo sui 	多岁	c=1 d=1 t=104693
duo xian cheng 	多线程	c=3 d=2.76986 t=79338
duo xuan 	多选	c=1 d=1 t=116956
duo yao 	多要	c=1 d=1 t=36893
duo yi dian 	多一点	c=1 d=1 t=103802
duo yong hu 	多用户	c=1 d=1 t=100440
duo yu 	多余	c=5 d=0.17552 t=148898
duo yu shao 	多与少	c=1 d=1 t=51426
duo zhong 	多种	c=2 d=1 t=107708
duo zhong 	多重	c=1 d=1 t=136246
e 	呃	c=3 d=1 t=124412
e 	饿	c=24 d=1.04642 t=148581
e 	鹅	c=1 d=0.509156 t=148898
e bu liao 	饿不了	c=1 d=1 t=129636
e bu si 	饿不死	c=3 d=1 t=64516
e dao 	饿到	c=1 d=1 t=52155
e de 	饿的	c=1 d=1 t=86171
e de kuai 	饿得快	c=1 d=1 t=107917
e du 	额度	c=29 d=1 t=146425
e gun 	恶棍	c=1 d=1 t=124714
e guo tou 	饿过头	c=1 d=1 t=7858
e hua 	恶化	c=1 d=1 t=10482
e huai 	饿坏	c=1 d=1 t=62650
e le 	饿了	c=65 d=1.86246 t=148693
e le me 	饿了么	c=6 d=1 t=129350
e lu 	恶露	c=1 d=1 t=24651
e mo 	恶魔	c=1 d=1 t=94482
e ren 	恶人	c=1 d=1 t=9923
e si 	饿死	c=3 d=1 t=145811
e si la 	饿死啦	c=4 d=1 t=146449
e si le 	饿死了	c=6 d=1 t=133203
e wai 	额外	c=8 d=1 t=134593
e xin 	恶心	c=35 d=1.00425 t=140594
e xin ren 	恶心人	c=2 d=1 t=81028
e yu 	俄语	c=1 d=1 t=88519
e yu 	鳄鱼	c=1 d=1 t=88520
e yun le 	饿晕了	c=1 d=1 t=103082
e zhe 	饿着	c=1 d=1 t=74334
e zhe ba 	饿着吧	c=1 d=1 t=15311
e zuo ju 	恶作剧	c=1 d=1 t=47086
ei 	诶	c=29 d=0.458406 t=148898
en 	嗯	c=103 d=2.48667 t=148327
en shan 	恩山	c=5 d=1.04498 t=33803
er 	二	c=8 d=1.99005 t=133001
er 	儿	c=13 d=1 t=132998
er 	而	c=2 d=1 t=131746
er 	耳	c=2 d=1.99005 t=46032
er bai 	二百	c=2 d=1.98511 t=83388
er bu shi 	而不是	c=11 d=1 t=130212
er ci 	二次	c=8 d=0.286505 t=148898
er dui 	二队	c=1 d=1 t=78016
er ge 	二个	c=2 d=1 t=115936
er gou 	二狗	c=2 d=1 t=46229
er gou 	耳垢	c=1 d=1 t=10304
er guan jia 	二管家	c=2 d=1 t=39491
er hao ji 	二号机	c=1 d=1 t=90281
er hei 	儿黑	c=1 d=1 t=55765
er huan 	耳环	c=1 d=1 t=1245
er ji 	耳机	c=4 d=1.956 t=132909
er jin zhi 	二进制	c=8 d=1.00235 t=146105
er lou 	二楼	c=1 d=1 t=91855
er qi 	二期	c=2 d=1 t=107891
er qie 	而且	c=60 d=1.13738 t=147098
er sai 	耳塞	c=2 d=1 t=46026
er san xian 	二三线	c=1 d=1 t=94603
er shou 	二手	c=4 d=1 t=142818
er shou qun 	二手群	c=1 d=1 t=86099
er tai 	二胎	c=1 d=1 t=108884
er tao 	二套	c=6 d=1.98511 t=98519
er tong 	儿童	c=2 d=1 t=108883
er wei ma 	二维码	c=4 d=1 t=117226
er yan 	而言	c=3 d=1 t=107327
er yi 	而已	c=57 d=1.00001 t=145596
er zhuang 	二壮	c=1 d=1 t=49791
er zi 	儿子	c=12 d=1 t=118618
er zi duo 	儿子多	c=0 d=0.1 t=96374
er zi duo da 	儿子多打	c=1 d=1 t=96375
fa 	发	c=142 d=0.160414 t=148898
fa 	法	c=8 d=0.290811 t=148898
fa bu 	发布	c=12 d=1.95123 t=126304
fa bu hui 	发布会	c=4 d=1 t=86494
fa cai 	发财	c=4 d=1 t=135860
fa che 	发车	c=4 d=2.90793 t=135561
fa chu lai 	发出来	c=1 d=1 t=35607
fa chu qu 	发出去	c=1 d=1 t=141666
fa cuo 	发错	c=4 d=1 t=120671
fa de 	发的	c=1 d=1 t=107304
fa dian 	发电	c=1 d=1 t=111329
fa ge 	发个	c=1 d=1 t=1838
fa gei 	发给	c=4 d=1 t=133824
fa gei ni 	发给你	c=14 d=1 t=135292
fa gei wo 	发给我	c=5 d=1 t=104530
fa guan 	法官	c=2 d=1 t=36237
fa gui 	法规	c=1 d=1 t=85411
fa guo 	法国	c=1 d=1 t=132399
fa huan 	法环	c=1 d=1 t=142802
fa huang 	发黄	c=1 d=1 t=11157
fa hui 	发挥	c=5 d=1 t=111237
fa huo 	发火	c=3 d=1 t=62550
fa huo 	发货	c=3 d=1 t=62553
fa huo qian 	发货前	c=1 d=1 t=35712
fa jiao 	发酵	c=2 d=1 t=100270
fa kuan 	罚款	c=1 d=1 t=11592
fa lang 	珐琅	c=0 d=0.1 t=9862
fa lang ban 	珐琅板	c=1 d=1 t=9863
fa le 	发了	c=1 d=1.09802 t=2682
fa le 	罚了	c=1 d=1 t=33981
fa le ma 	发了吗	c=1 d=1 t=2679
fa li 	发力	c=1 d=1 t=108583
fa lv 	法律	c=5 d=1.17552 t=113526
fa men 	阀门	c=1 d=1 t=80207
fa mo 	罚没	c=1 d=1 t=49700
fa piao 	发票	c=6 d=1.97045 t=42613
fa qi 	发起	c=3 d=1 t=138993
fa qian 	发钱	c=3 d=1.92863 t=11908
fa qiu 	发球	c=1 d=1 t=116584
fa re 	发热	c=4 d=1.20701 t=58196
fa san 	发散	c=1 d=1 t=110668
fa shao 	发烧	c=16 d=1 t=116862
fa sheng 	发生	c=6 d=1 t=133451
fa shi 	法师	c=3 d=1 t=64999
fa shou 	发售	c=1 d=1 t=140761
fa song 	发送	c=21 d=1 t=124538
fa tiao 	法条	c=1 d=1 t=142169
fa tie 	发帖	c=7 d=3.34007 t=137155
fa ting 	法庭	c=8 d=0.013068 t=148898
fa wan 	发完	c=1 d=1 t=30674
fa wen 	发文	c=1 d=1 t=47113
fa wo 	发我	c=1 d=1 t=104563
fa xia qu 	发下去	c=1 d=1 t=66285
fa xian 	发现	c=70 d=1.25158 t=146485
fa xie 	发泄	c=3 d=0.1 t=140580
fa xing 	发型	c=1 d=1 t=44830
fa xing 	发行	c=2 d=1.00779 t=30313
fa xing ban 	发行版	c=5 d=1.50409 t=120040
fa xing ban ben 	发行版本	c=1 d=1 t=2609
fa xing shi 	发型师	c=3 d=1.00001 t=105632
fa yan 	发炎	c=8 d=1 t=112426
fa yan 	发言	c=4 d=1.92774 t=146202
fa yi 	法医	c=3 d=2.95064 t=9543
fa yu 	发育	c=6 d=1 t=76175
fa yu lu 	发育路	c=2 d=1 t=100062
fa yu man 	发育慢	c=1 d=1 t=64878
fa yuan 	法院	c=4 d=0.882497 t=148898
fa zhan 	发展	c=4 d=1 t=94750
fan 	凡	c=1 d=1 t=10800
fan 	反	c=10 d=1.96561 t=145674
fan 	烦	c=14 d=0.470011 t=148898
fan 	犯	c=1 d=1 t=144413
fan 	番	c=1 d=1 t=19403
fan 	翻	c=19 d=0.1 t=132505
fan 	饭	c=17 d=1.00164 t=136992
fan ban 	翻版	c=2 d=1.9802 t=85818
fan bei 	翻倍	c=1 d=1 t=70853
fan bian yi 	反编译	c=2 d=1.84366 t=99693
fan bo 	反驳	c=1 d=1 t=140230
fan cai 	饭菜	c=1 d=1 t=23942
fan ceng 	烦蹭	c=1 d=1 t=133490
fan cha 	反差	c=1 d=1 t=130591
fan cha biao 	反差婊	c=1 d=1 t=2974
fan chang 	翻唱	c=1 d=1 t=43794
fan chang 	返厂	c=1 d=1 t=148127
fan che 	翻车	c=12 d=1.0435 t=140141
fan cheng 	返程	c=1 d=1 t=147105
fan chou 	范畴	c=1 d=1 t=56730
fan da 	反打	c=1 d=1 t=108602
fan dian 	饭店	c=1 d=1 t=103253
fan dui 	反对	c=3 d=1 t=91852
fan er 	反而	c=57 d=0.319655 t=148898
fan er shi 	反而是	c=1 d=1 t=129500
fan fa 	犯法	c=1 d=1 t=123658
fan fan 	凡凡	c=2 d=1 t=54279
fan fu 	反复	c=5 d=1 t=129659
fan gan 	反感	c=2 d=1 t=88867
fan hua 	繁花	c=2 d=1.07244 t=95058
fan huan 	返还	c=3 d=1 t=131409
fan hui 	返回	c=28 d=3.00164 t=129205
fan hui bian 	反汇编	c=1 d=1 t=128955
fan hui zhi 	返回值	c=3 d=1 t=123829
fan jia 	返家	c=1 d=1 t=5210
fan kui 	反馈	c=21 d=1 t=138324
fan kun 	犯困	c=1 d=1 t=34970
fan lan 	泛滥	c=1 d=1 t=60076
fan le 	烦了	c=1 d=1 t=98040
fan le 	翻了	c=2 d=1 t=80481
fan li 	返利	c=2 d=1 t=99055
fan mian 	翻面	c=1 d=1 t=25108
fan nao 	烦恼	c=1 d=1 t=145049
fan pai 	反派	c=1 d=1 t=123539
fan pai 	翻拍	c=2 d=1 t=123537
fan pan 	翻盘	c=2 d=1 t=72290
fan pu gui zhen 	返璞归真	c=1 d=1 t=143166
fan qiang 	翻墙	c=17 d=1.93239 t=118598
fan qie 	番茄	c=22 d=1 t=145871
fan qie chao dan 	番茄炒蛋	c=2 d=1 t=54259
fan ren 	烦人	c=1 d=1 t=106819
fan shang qu 	翻上去	c=1 d=1 t=123260
fan shen 	翻身	c=1 d=1 t=141946
fan si 	反思	c=2 d=1 t=125731
fan si 	烦死	c=1 d=1 t=138435
fan si le 	烦死了	c=7 d=1 t=139573
fan suo 	繁琐	c=1 d=1 t=124147
fan tan 	反弹	c=1 d=1 t=124962
fan tong 	饭桶	c=1 d=1 t=73272
fan tuan 	饭团	c=1 d=1 t=70896
fan wai pian 	番外篇	c=1 d=1 t=48607
fan wei 	范围	c=6 d=1 t=127642
fan wo 	烦我	c=1 d=1 t=132891
fan xian 	返现	c=1 d=1 t=43993
fan xiang 	反向	c=3 d=1 t=116944
fan ye 	翻页	c=3 d=1 t=126656
fan yi 	翻译	c=45 d=1 t=141103
fan yi cheng 	翻译成	c=2 d=1 t=148287
fan ying 	反应	c=13 d=1 t=140279
fan ying guo lai 	反应过来	c=1 d=1 t=76675
fan yue 	翻阅	c=1 d=1 t=93950
fan zheng 	反正	c=19 d=1 t=137753
fan zhuan 	翻转	c=2 d=1.0004 t=131259
fan zi 	贩子	c=1 d=1 t=147606
fang 	房	c=4 d=1 t=94232
fang 	放	c=104 d=1.77071 t=146820
fang 	方	c=2 d=1.30119 t=96754
fang 	防	c=1 d=1 t=128094
fang ai 	妨碍	c=1 d=1 t=45587
fang an 	方案	c=72 d=1.05422 t=141003
fang bian 	方便	c=37 d=1 t=147196
fang bian mian 	方便面	c=1 d=1 t=137783
fang bu chu lai 	放不出来	c=1 d=1 t=77014
fang chu lai 	放出来	c=1 d=1 t=124389
fang chu qu 	放出去	c=1 d=1 t=113366
fang da 	放大	c=4 d=1.9802 t=130899
fang dai 	房贷	c=16 d=1 t=128424
fang dan 	防弹	c=1 d=1 t=74765
fang dao 	放到	c=3 d=1 t=128553
fang ding 	房顶	c=1 d=1 t=53624
fang dong 	防冻	c=9 d=2.65042 t=127950
fang dou 	防抖	c=1 d=1 t=126857
fang fa 	方法	c=63 d=1 t=146791
fang fang zheng zheng 	方方正正	c=1 d=1 t=55710
fang fei 	放飞	c=1 d=1 t=129445
fang hui chun tang 	方回春堂	c=1 d=1 t=31831
fang huo qiang 	防火墙	c=1 d=1 t=141295
fang jia 	房价	c=3 d=1 t=87013
fang jia 	放假	c=8 d=1.02153 t=130971
fang jia li 	放家里	c=1 d=1 t=139071
fang jia yi tian 	放假一天	c=1 d=1 t=5211
fang jian 	房间	c=14 d=1.15335 t=133281
fang jin lai 	放进来	c=1 d=1 t=100340
fang jin qu 	放进去	c=7 d=1.21438 t=141925
fang kai 	房开	c=1 d=1 t=43566
fang kai 	放开	c=1 d=1 t=6640
fang kuai 	方块	c=2 d=1 t=143874
fang mian 	方面	c=2 d=1 t=93085
fang qi 	放弃	c=5 d=1 t=138207
fang qi 	放气	c=7 d=1 t=138205
fang ru 	放入	c=1 d=1 t=28656
fang sai 	仿赛	c=1 d=1 t=7349
fang shang qu 	放上去	c=1 d=1 t=33997
fang shi 	方式	c=60 d=1.00004 t=148322
fang shuai 	防摔	c=2 d=1.00037 t=4094
fang shui 	防水	c=1 d=1 t=36605
fang song 	放松	c=3 d=1.99501 t=122993
fang tan 	访谈	c=1 d=1 t=11943
fang wan 	放完	c=2 d=1.97531 t=129454
fang wen 	访问	c=26 d=3.9766 t=123977
fang xiang 	方向	c=2 d=1 t=131579
fang xiang jian 	方向键	c=11 d=1 t=129724
fang xin 	放心	c=12 d=1 t=96610
fang xiu 	房修	c=2 d=1 t=58676
fang xue 	放学	c=1 d=1 t=46865
fang zai 	放在	c=7 d=1 t=141394
fang zhe 	放着	c=5 d=1 t=140612
fang zhi 	防止	c=2 d=1 t=137658
fang zi 	房子	c=18 d=1.9802 t=135849
fang zu 	房租	c=5 d=1.99006 t=90060
fei 	妃	c=2 d=1 t=144174
fei 	肥	c=11 d=1 t=142056
fei 	费	c=2 d=1 t=46931
fei 	霏	c=1 d=1 t=108354
fei 	非	c=14 d=1 t=121883
fei 	飞	c=41 d=0.67032 t=148898
fei chai 	废柴	c=1 d=1 t=5890
fei chang 	非常	c=12 d=1 t=148701
fei che 	飞车	c=0 d=0.1 t=47062
fei cheng wu rao 	非诚勿扰	c=1 d=1 t=132536
fei chi ren sheng 	飞驰人生	c=1 d=1 t=135634
fei dian 	费电	c=3 d=1 t=114846
fei fa 	非法	c=1 d=1 t=135636
fei hua 	飞花	c=1 d=1 t=110737
fei hua ling 	飞花令	c=1 d=1 t=110728
fei hui 	飞回	c=1 d=1 t=133444
fei ji 	飞机	c=1 d=1 t=3217
fei le 	废了	c=1 d=1 t=147571
fei le 	肥了	c=2 d=1 t=119770
fei le 	飞了	c=1 d=1 t=52172
fei li 	费力	c=1 d=1 t=44784
fei niu 	肥牛	c=3 d=1 t=101173
fei qi 	飞起	c=3 d=1 t=72782
fei ren lei 	非人类	c=1 d=1 t=91036
fei shi 	费事	c=2 d=1 t=83198
fei shi jian 	费时间	c=1 d=1 t=136571
fei shu 	飞书	c=8 d=1 t=138146
fei shui 	废水	c=1 d=1 t=65778
fei shui 	费水	c=1 d=1 t=65780
fei teng 	沸腾	c=1 d=1 t=83961
fei ti 	飞提	c=4 d=1 t=102524
fei wen 	绯闻	c=1 d=1 t=9967
fei xing yuan 	飞行员	c=1 d=1 t=94365
fei yao 	非要	c=2 d=1 t=116926
fei yong 	费用	c=10 d=1 t=146769
fei zai 	肥仔	c=1 d=1 t=14451
fei zhai shui 	肥宅水	c=1 d=1 t=36658
fei zhi 	废纸	c=1 d=1 t=88506
fei zhou 	非洲	c=1 d=1 t=137042
fen 	份	c=7 d=1 t=111126
fen 	分	c=62 d=1.00041 t=145860
fen 	粉	c=6 d=1 t=122399
fen ba 	分吧	c=1 d=1 t=98700
fen bian 	分辨	c=4 d=0.763379 t=148898
fen bian lv 	分辨率	c=3 d=1.31349 t=93824
fen biao 	分表	c=1 d=1 t=33292
fen bie 	分别	c=1 d=1 t=129159
fen bu qing 	分不清	c=2 d=1 t=23640
fen bu shi 	分布式	c=1 d=1 t=88933
fen bu yu 	分布于	c=1 d=1 t=126932
fen cha 	分叉	c=1 d=1 t=57686
fen chen 	粉尘	c=1 d=1 t=35471
fen cheng 	分成	c=1 d=1 t=73131
